display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2011 Aston Martin Rapide 5.9 Hatchback,I am interested in your car on Mobil123.com - 2011 Aston Martin Rapide 5.9 Hatchback Onyx Black on Obsidian Black Leather Interior SPECIAL PRICE (Rp 2.300.000.000). https://www.mobil123.com/dijual/aston-martin-rapide-dki-jakarta-pluit/10555703.,https://www.mobil123.com/dijual/aston-martin-rapide-dki-jakarta-pluit/10555703,Aston Martin,Rapide,,12500,Automatic,469,5935 cc,5,4,Pertamax,Hitam,2011,DKI Jakarta,Pluit
2012 Aston Martin Virage 5.9 Coupe,I am interested in your car on Mobil123.com - 2012 Aston Martin Virage 5.9 Coupe (Rp 3.990.000.000). https://www.mobil123.com/dijual/aston-martin-virage-dki-jakarta-pluit/7595160.,https://www.mobil123.com/dijual/aston-martin-virage-dki-jakarta-pluit/7595160,Aston Martin,Virage,,2500,Automatic,490,5935 cc,2,4,Pertamax,Hitam,2012,DKI Jakarta,Pluit
2007 Aston Martin DB9 5.9 Coupe,I am interested in your car on Mobil123.com - 2007 ASTON MARTIN DB9 5.9 SPECIAL PRICE (Rp 2.100.000.000). https://www.mobil123.com/dijual/aston-martin-db9-dki-jakarta-pluit/8644104.,https://www.mobil123.com/dijual/aston-martin-db9-dki-jakarta-pluit/8644104,Aston Martin,DB9,,22500,Automatic,510,5935 cc,2,4,Pertamax,Hitam,2007,DKI Jakarta,Pluit
2016 Aston Martin DB9 5.9 Coupe,I am interested in your car on Mobil123.com - 2016 Aston Martin DB9 5.9 Series 1 Coupe (Rp 4.700.000.000). https://www.mobil123.com/dijual/aston-martin-db9-dki-jakarta-pluit/8250811.,https://www.mobil123.com/dijual/aston-martin-db9-dki-jakarta-pluit/8250811,Aston Martin,DB9,,7500,Automatic,510,5935 cc,2,4,Pertamax,Silver,2016,DKI Jakarta,Pluit
2015 Aston Martin V12 5.9 Vantage S Coupe,"I am interested in your car on Mobil123.com - 2015 Aston Martin V12 5.9 Vantage S Coupe LOW KM, Pembelian kredit tersedia pilihan finansial bunga rendah & DP mulai dari 15 persen (Rp 3.750.000.000). https://www.mobil123.com/dijual/aston-martin-v12-vantage-s-dki-jakarta-radio-dalam/9712547.",https://www.mobil123.com/dijual/aston-martin-v12-vantage-s-dki-jakarta-radio-dalam/9712547,Aston Martin,V12,Vantage S,7500,Automatic,565,5935 cc,2,2,Pertamax,Kuning,2015,DKI Jakarta,Radio Dalam
