display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2014 Tesla Model S P85+ Sedan,I am interested in your car on Mobil123.com - 2014 Tesla Model S 0 P85+ Sedan (Rp 1.750.000.000). https://www.mobil123.com/dijual/tesla-model-s-p85-plus-dki-jakarta-kebayoran-baru/9853778.,https://www.mobil123.com/dijual/tesla-model-s-p85-plus-dki-jakarta-kebayoran-baru/9853778,Tesla,Model S,P85+,12500,Automatic,360,5040 cc,4,5,Electric,Biru,2014,DKI Jakarta,Kebayoran Baru
2020 Tesla Model 3 Standard Range Plus Sedan,I am interested in your car on Mobil123.com - 2020 Tesla Model 3 0.0 Standard Range Plus Sedan (Rp 3.300.000.000). https://www.mobil123.com/dijual/tesla-model-3-standard-range-plus-dki-jakarta-sudirman/10261187.,https://www.mobil123.com/dijual/tesla-model-3-standard-range-plus-dki-jakarta-sudirman/10261187,Tesla,Model 3,Standard Range Plus,66000,Automatic,480,6720 cc,4,5,Electric,Hijau,2020,DKI Jakarta,Sudirman
2021 Tesla Model X Performance Wagon,I am interested in your car on Mobil123.com - 2021 Tesla Model X 0.0 Performance Wagon Midnight Silver Metallic on All Black SPECIAL PRICE (Rp 3.575.000.000). https://www.mobil123.com/dijual/tesla-model-x-performance-dki-jakarta-pluit/8899203.,https://www.mobil123.com/dijual/tesla-model-x-performance-dki-jakarta-pluit/8899203,Tesla,Model X,Performance,12500,Automatic,670,9380 cc,5,5,Electric,Silver,2021,DKI Jakarta,Pluit
2021 Tesla Model 3 Performance Sedan,I am interested in your car on Mobil123.com - 2021 Tesla Model 3 0.0 Performance Sedan Facelift Pearl White Multi Coat on White SPECIAL PRICE (Rp 1.850.000.000). https://www.mobil123.com/dijual/tesla-model-3-performance-dki-jakarta-pluit/9020237.,https://www.mobil123.com/dijual/tesla-model-3-performance-dki-jakarta-pluit/9020237,Tesla,Model 3,Performance,12500,Automatic,480,6720 cc,4,5,Electric,Putih,2021,DKI Jakarta,Pluit
2021 Tesla Model 3 Performance Sedan,I am interested in your car on Mobil123.com - 2021 Tesla Model 3 0.0 Performance Sedan White on White GOOD CONDITION (Rp 1.850.000.000). https://www.mobil123.com/dijual/tesla-model-3-performance-dki-jakarta-pluit/8960843.,https://www.mobil123.com/dijual/tesla-model-3-performance-dki-jakarta-pluit/8960843,Tesla,Model 3,Performance,12500,Automatic,480,6720 cc,4,5,Electric,Putih,2021,DKI Jakarta,Pluit
