display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2012 Proton Saga 1.3 FLX Sedan,I am interested in your car on Mobil123.com - Proton Saga 1.3 FLX th.2012 mulus (Rp 45.500.000). https://www.mobil123.com/dijual/proton-saga-flx-jawa-timur-perak/10691169.,https://www.mobil123.com/dijual/proton-saga-flx-jawa-timur-perak/10691169,Proton,Saga,FLX,190000,Manual,94,1322 cc,4,5,Pertamax,Silver,2012,Jawa Timur,Perak
2011 Proton Exora 1.6 CPS B-Line MPV,I am interested in your car on Mobil123.com - 2011 Proton Exora 1.6 CPS B-Line MPV (Rp 70.000.000). https://www.mobil123.com/dijual/proton-exora-cps-b-line-jawa-tengah-sidareja/10648145.,https://www.mobil123.com/dijual/proton-exora-cps-b-line-jawa-tengah-sidareja/10648145,Proton,Exora,CPS B-Line,125000,Automatic,125,1597 cc,5,7,Pertamax,Coklat,2011,Jawa Tengah,Sidareja
2012 Proton Exora 1.6 CPS B-Line MPV,I am interested in your car on Mobil123.com - 2012 Proton Exora CPS B-Line MPV (Rp 78.500.000). https://www.mobil123.com/dijual/proton-exora-cps-b-line-dki-jakarta-duren-sawit/10264721.,https://www.mobil123.com/dijual/proton-exora-cps-b-line-dki-jakarta-duren-sawit/10264721,Proton,Exora,CPS B-Line,107500,Automatic,125,1597 cc,5,7,Pertamax,Putih,2012,DKI Jakarta,Duren Sawit
2012 Proton Saga 1.3 FLX Sedan,I am interested in your car on Mobil123.com - 2012 Proton Saga 1.3 FLX Sedan (Rp 53.500.000). https://www.mobil123.com/dijual/proton-saga-flx-banten-cikupa/9113438.,https://www.mobil123.com/dijual/proton-saga-flx-banten-cikupa/9113438,Proton,Saga,FLX,42000,Manual,94,1322 cc,4,5,Pertamax,Biru,2012,Banten,Cikupa
2014 Proton Neo 1.6 R3 Hatchback,I am interested in your car on Mobil123.com - 2014 Proton Neo R3 Hatchback (Rp 158.000.000). https://www.mobil123.com/dijual/proton-neo-r3-dki-jakarta-mangga-dua/9289558.,https://www.mobil123.com/dijual/proton-neo-r3-dki-jakarta-mangga-dua/9289558,Proton,Neo,R3,17500,Manual,125,1597 cc,3,5,Pertamax,Kuning,2014,DKI Jakarta,Mangga Dua
