display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
1997 Timor S-515i 1.5 DOHC Sedan,I am interested in your car on Mobil123.com - 1997 Timor S-515i 1.5 DOHC Sedan plat AG andik bisa tukar tambah sekoto kediri jatim (Rp 27.000.000). https://www.mobil123.com/dijual/timor-s-515i-dohc-jawa-timur-kediri/9965696.,https://www.mobil123.com/dijual/timor-s-515i-dohc-jawa-timur-kediri/9965696,Timor,S-515i,DOHC,247500,Manual,105,1498 cc,4,5,Pertamax,Hijau,1997,Jawa Timur,Kediri
2000 Timor S-515i 1.5 DOHC Sedan,I am interested in your car on Mobil123.com - 2000 Timor S-515i DOHC Sedan (Rp 30.000.000). https://www.mobil123.com/dijual/timor-s-515i-dohc-jawa-barat-cibeunying-kaler/10370904.,https://www.mobil123.com/dijual/timor-s-515i-dohc-jawa-barat-cibeunying-kaler/10370904,Timor,S-515i,DOHC,87500,Manual,105,1498 cc,4,5,Pertamax,Biru,2000,Jawa Barat,Cibeunying Kaler
1997 Timor S-515i 1.5 DOHC Sedan,I am interested in your car on Mobil123.com - 1997 Timor S-515i DOHC Sedan (Rp 29.500.000). https://www.mobil123.com/dijual/timor-s-515i-dohc-jawa-barat-sumurbandung/10374973.,https://www.mobil123.com/dijual/timor-s-515i-dohc-jawa-barat-sumurbandung/10374973,Timor,S-515i,DOHC,202500,Manual,105,1498 cc,4,5,Pertamax,Hitam,1997,Jawa Barat,Sumurbandung
1997 Timor S-515 1.5 SOHC Sedan,I am interested in your car on Mobil123.com - 1997 Timor S-515 SOHC Sedan (Rp 22.000.000). https://www.mobil123.com/dijual/timor-s-515-sohc-jawa-tengah-semarang-selatan/9939580.,https://www.mobil123.com/dijual/timor-s-515-sohc-jawa-tengah-semarang-selatan/9939580,Timor,S-515,SOHC,142500,Manual,105,1498 cc,4,5,Pertamax,Merah,1997,Jawa Tengah,Semarang Selatan
