display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 KIA Rio 1.4 Hatchback,"I am interested in your car on Mobil123.com - 2013 KIA Rio 1,4 Base Spec Hatchback At (Rp 118.000.000). https://www.mobil123.com/dijual/kia-rio-dki-jakarta-bintaro/10285165.",https://www.mobil123.com/dijual/kia-rio-dki-jakarta-bintaro/10285165,KIA,Rio,,104000,Automatic,106,1396 cc,5,5,Pertamax,Putih,2013,DKI Jakarta,Bintaro
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon (Rp 329.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-jawa-barat-bogor/10520407.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-jawa-barat-bogor/10520407,KIA,Seltos,EX+,17500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2020,Jawa Barat,Bogor
2013 KIA Sorento 2.4 SUV,I am interested in your car on Mobil123.com - 2013 Kia Sorento 2.4 At Panoramic ISTIMEWA Dijual Di Yogyakarta  (Rp 179.000.000). https://www.mobil123.com/dijual/kia-sorento-yogyakarta-yogyakarta/10517938.,https://www.mobil123.com/dijual/kia-sorento-yogyakarta-yogyakarta/10517938,KIA,Sorento,,93000,Automatic,174,2359 cc,5,7,Pertamax,Putih,2013,Yogyakarta,Yogyakarta
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon putih sunroof km 13 ribuan pajak panjang cash kredit bisa (Rp 315.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-mangga-dua/10516226.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-mangga-dua/10516226,KIA,Seltos,EX+,12500,Automatic,138,1353 cc,5,5,Pertamax,Putih,2020,DKI Jakarta,Mangga Dua
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon (Rp 329.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-kelapa-gading/10511902.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-kelapa-gading/10511902,KIA,Seltos,EX+,17500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2020,DKI Jakarta,Kelapa Gading
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon (Rp 324.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-cassablanca/10511848.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-cassablanca/10511848,KIA,Seltos,EX+,17500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2020,DKI Jakarta,Cassablanca
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon (Rp 329.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-citra-garden-5/10510761.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-dki-jakarta-citra-garden-5/10510761,KIA,Seltos,EX+,17500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2020,DKI Jakarta,Citra Garden 5
2020 KIA Seltos 1.4 EX+ Wagon,I am interested in your car on Mobil123.com - 2020 KIA Seltos 1.4 EX+ Wagon (Rp 329.000.000). https://www.mobil123.com/dijual/kia-seltos-ex-plus-banten-lippo-karawaci/10507761.,https://www.mobil123.com/dijual/kia-seltos-ex-plus-banten-lippo-karawaci/10507761,KIA,Seltos,EX+,17500,Automatic,138,1353 cc,5,5,Pertamax,Orange,2020,Banten,Lippo Karawaci
2014 KIA Picanto 1.2 SE 3 Hatchback,"I am interested in your car on Mobil123.com - Dp 10jt KIA Picanto 1,2 SE 3 manual 2014 unit siap pake (Rp 87.000.000). https://www.mobil123.com/dijual/kia-picanto-se-3-jawa-barat-sumurbandung/10506070.",https://www.mobil123.com/dijual/kia-picanto-se-3-jawa-barat-sumurbandung/10506070,KIA,Picanto,SE 3,47000,Manual,86,1248 cc,5,5,Pertamax,Merah,2014,Jawa Barat,Sumurbandung
2012 KIA Rio 1.4 Hatchback,I am interested in your car on Mobil123.com - 2012 KIA Rio UB Hatchback (Rp 120.000.000). https://www.mobil123.com/dijual/kia-rio-jawa-barat-baros/6707882.,https://www.mobil123.com/dijual/kia-rio-jawa-barat-baros/6707882,KIA,Rio,,97500,Manual,106,1396 cc,5,5,Pertamax,Putih,2012,Jawa Barat,Baros
2012 KIA Picanto 1.2 SE 2 Hatchback,"I am interested in your car on Mobil123.com - 2012 KIA Picanto 1,2 SE AT Hatchback Siap Pakai Cash/Credit (Rp 95.000.000). https://www.mobil123.com/dijual/kia-picanto-se-2-jawa-barat-bandung/10316162.",https://www.mobil123.com/dijual/kia-picanto-se-2-jawa-barat-bandung/10316162,KIA,Picanto,SE 2,105000,Automatic,86,1248 cc,5,5,Pertamax,Abu-abu,2012,Jawa Barat,Bandung
