display_title,line_text,url,brand,model,variant,mileage,transmisi,power,engine,door,seats,fuel_type,color,year,province,area
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,"I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5,2 LP550-2 Coupe (Rp 3.550.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kelapa-gading/9918520.",https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kelapa-gading/9918520,Lamborghini,Gallardo,LP550-2,17000,Automatic,543,5204 cc,2,2,Pertamax,Putih,2013,DKI Jakarta,Kelapa Gading
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe (Rp 3.555.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-sunter/9832135.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-sunter/9832135,Lamborghini,Gallardo,LP550-2,17000,Automatic,543,5204 cc,2,2,Pertamax,Putih,2013,DKI Jakarta,Sunter
2015 Lamborghini Huracan 5.2 LP610-4 Coupe,I am interested in your car on Mobil123.com - 2015 Lamborghini Huracan 5.2 LP610-4 Coupe  Orange on Black/Orange (Rp 7.250.000.000). https://www.mobil123.com/dijual/lamborghini-huracan-lp610-4-dki-jakarta-pluit/7752529.,https://www.mobil123.com/dijual/lamborghini-huracan-lp610-4-dki-jakarta-pluit/7752529,Lamborghini,Huracan,LP610-4,12500,Automatic,610,5204 cc,2,2,Pertamax,Orange,2015,DKI Jakarta,Pluit
2015 Lamborghini Huracan 5.2 LP610-4 Coupe,I am interested in your car on Mobil123.com - 2015 Lamborghini Huracan 5.2 LP610-4 Coupe (Rp 7.490.000.000). https://www.mobil123.com/dijual/lamborghini-huracan-lp610-4-dki-jakarta-sunter/9833675.,https://www.mobil123.com/dijual/lamborghini-huracan-lp610-4-dki-jakarta-sunter/9833675,Lamborghini,Huracan,LP610-4,6900,Automatic,610,5204 cc,2,2,Pertamax,Kuning,2015,DKI Jakarta,Sunter
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe (Rp 3.400.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pondok-indah/9628914.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pondok-indah/9628914,Lamborghini,Gallardo,LP550-2,11185,Automatic,543,5204 cc,2,2,Pertamax,Hijau,2013,DKI Jakarta,Pondok Indah
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe (Rp 3.400.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pondok-indah/9664176.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pondok-indah/9664176,Lamborghini,Gallardo,LP550-2,7500,Automatic,543,5204 cc,2,2,Pertamax,Hijau,2013,DKI Jakarta,Pondok Indah
2011 Lamborghini Gallardo 5.2 LP 570-4 Superleggera Coupe,I am interested in your car on Mobil123.com - 2011 Lamborghini Gallardo 5.2 LP 570-4 Superleggera Coupe (Rp 4.900.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp-570-4-superleggera-dki-jakarta-kebayoran-baru/9717215.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp-570-4-superleggera-dki-jakarta-kebayoran-baru/9717215,Lamborghini,Gallardo,LP 570-4 Superleggera,12500,Automatic,562,5204 cc,2,2,Pertamax,Putih,2011,DKI Jakarta,Kebayoran Baru
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe SPECIAL PRICE (Rp 3.500.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pluit/9658054.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pluit/9658054,Lamborghini,Gallardo,LP550-2,12500,Automatic,543,5204 cc,2,2,Pertamax,Hijau,2013,DKI Jakarta,Pluit
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe (Rp 3.400.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kemang/9674176.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-kemang/9674176,Lamborghini,Gallardo,LP550-2,12500,Automatic,543,5204 cc,2,2,Pertamax,Hijau,2013,DKI Jakarta,Kemang
2013 Lamborghini Aventador 6.5 LP700-4 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Aventador 6.5 LP 700-4 Coupe (Rp 7.500.000.000). https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-pluit/6868556.,https://www.mobil123.com/dijual/lamborghini-aventador-lp700-4-dki-jakarta-pluit/6868556,Lamborghini,Aventador,LP700-4,27500,Automatic,700,6498 cc,2,2,Pertamax,Kuning,2013,DKI Jakarta,Pluit
2013 Lamborghini Gallardo 5.2 LP550-2 Coupe,I am interested in your car on Mobil123.com - 2013 Lamborghini Gallardo 5.2 LP550-2 Coupe Green on Black (Rp 3.500.000.000). https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pluit/9665758.,https://www.mobil123.com/dijual/lamborghini-gallardo-lp550-2-dki-jakarta-pluit/9665758,Lamborghini,Gallardo,LP550-2,12500,Automatic,543,5204 cc,2,2,Pertamax,Hijau,2013,DKI Jakarta,Pluit
